LotNumber,ParentLotNumber,UniqueIdentifier,HubCode,Title1,Title2,Title3,PostLotText,PreLotText,Description,Provenance,Literature,Exhibited,PropertyOf,ConditionReport,LocationAndCollection,TaxesAndOtherCharges,ShippingAndDelivery,PaymentInformation,LotClosingInformation,NoteToBuyer,LotEssay,LotNotes,AdditionalChargeDetails,EstimateLowerLimit,EstimateHigherLimit,ShippingBand,Images,MainImage,VideoImages,VideoLinks,MainVideo,RotateableImageUri,Auctiontype,IsFeatured,StartDate,EndDate,StartingBidAmount,Reserve,Height,Width,RelativeSizeImage,PackageHeight,PackageWidth,PackageDepth,PackageWeight,CountryOfOrigin,DateOfManufacture,HsCode,TaxType,VendorType,FPSHammer,FPSTotalSalePrice,Category,ArtistsResaleRightsSet,RelatedLots,ShippingCostBasedOnQuantity,Quantity,UnitType,ShippingConsolidation,ShippingSurcharge,AvailableStartDate,AvailableEndDate,Hidden,Position,OfferStartDate,DisplayDate,ConsignorType,LiveAuctionLot,DutyCode,VolumeCount,EucrdApplicable,Material / Technique,Type,Artist / Maker
11,,23805.11,PAR,CARTIER MONTRE ONYX ET DIAMANTS ART DÉCO 'TORTUE',,,,,"Triangular-shaped onyx plaques, rose-cut diamonds, platinum and 18k yellow gold (French marks), dial signed Cartier France, French maker's mark on bracelet, manual movement, case numbered, circa 1920, Cartier case<br><br>Size/Dimensions: inner continuous circumference of the bracelet 14.5 cm (adjustable), case 19.0 x 20.0 mm <br>Gross weight: 22.1 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a folding clasp, black satin strap.<br>- Glass: in good condition, very minor scratches at surface.<br>- Dial: with severe age stains and spots.<br>- Bracelet: numbered, French maker's mark partially erased and unidentifiable.<br>- Case: numbered.<br>- Onyx: in good condition, with minor cracks at surface.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:10:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,onyx;diamond;gold,wristwatch,Cartier
12,,23805.12,PAR,"CARTIER BOÎTE ÉMAIL, RUBIS, ONYX ET DIAMANTS ART DÉCO",,,,,"Black enamel, cabochon ruby, onyx panels, old, rose and single-cut and square-shaped diamonds, silver and 18k yellow gold (French marks), signed Cartier, Paris, maker’s mark (Pillard), numbered, circa 1925<br><br>Size/Dimensions: 6.7 x 4.6 x 1.6 cm<br>Gross weight: 128.9 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear commensurate with age, including traces of tarnish, abrasion marks and light indentations. Lipstick holder with a few visible discolourations. The base of the lipstick holder slightly loose. Secure lid. The cabochon ruby is loose but secure in the setting. Opening to reveal a mirror, a lipstick holder and two compartments.<br>-Additional mark: MADE IN FRANCE.<br>-Mirror: with a few stains. One chip with a small a fracture to the reverse. <br>-Enamel: good condition. With some abrasion marks and a few chips. A very few losses.<br>-Ruby: with typical inclusions, some surface reaching. <br>-Onyx: good condition. One panel with a visible chip to one corner. <br>-Diamonds: bright and lively. <br>-Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:11:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,enamel;onyx,vanity case,Cartier
13,,23805.13,PAR,"CARTIER SAUTOIR DÉBUT DU XXe SIÈCLE, PERLES, CRISTAL DE ROCHE ET DIAMANTS",,,,,"Round seed pearls and pearls, carved rock crystal, old and single-cut diamonds, black cord, detachable seed pearl and diamond tassel, platinum (customs mark), necklace signed Cartier on clasp, numbered, circa 1915<br><br>Size/Dimensions: 80.5 cm long<br>Gross weight: 28.6 grams<br><br><b>Please note that the pearls have not been tested for natural origin.</b><br>",,,,,"-Overall condition: good. Shows normal sins of wear commensurate with age, including some abrasion marks. Fitted with secure clasp. <br>-Seed pearls and pearls: seed pearls with cream bodycolour and pearls with white bodycolour, partly with rosé and green overtones. With typical blemishes such as pits and wrinkles. A few strands deficient. <br>-Rock crystal: with some small chips. <br>-Diamonds: on average VS to SI clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>-Cord: very good condition. <br>-Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:12:00,20000,20000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;rock crystal,necklace,Cartier
14,,23805.14,PAR,JAR BAGUE RUBIS ET DIAMANTS,,,,,"Oval brilliant step-cut rubies, round diamonds, platinum (customs mark), signed JAR, JAR fitted case <br><br>SSEF, 2025, report n°.146631: Burma (Myanmar), no indication of heating for center ruby, indication of heating for two rubies, approximately 6.80 x 6.65 x 3.15 mm, approximately 8.10 x 6.85 x 3.50 mm and approximately 6.75 x 6.40 x 3.30 mm<br><br>Rubies: with an approximate weight of 1.00-1.10 carat, 1.40-1.50 carat and 1.00-1.10 carat<br><br>Size/Dimensions: FR ring size: 42<sup>1</sup>⁄<sub>2</sub>/ US ring size: 2<sup>1</sup>⁄<sub>4</sub><br>Gross weight: 3.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum. JAR case with stains.<br>- Additional marks: PT950.<br>- Ruby: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,100000,150000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:13:00,100000,100000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;ruby;platinum,ring,JAR
15,,23805.15,PAR,PAIRE DE BOUCLES D'OREILLES DIAMANTS,,,,,"Rectangular and round brilliant-cut diamonds, platinum and18k white gold (customs marks)<br><br>Diamonds: with an approximate total weight of 2.30-2.70 carats <br><br>Size/Dimensions: 2.1 x 1.8 cm<br>Gross weight: 8.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with posts for pierced ears.<br>- Additional marks: 750.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.<br>",,,,,,,,,,3000,5000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:14:00,3000,3000,0,0,,,,,,Belgium,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Organization,FALSE,,,TRUE,diamond;gold,earrings,
16,,23805.16,PAR,BOUCHERON DEMI-PARURE RUBIS ET DIAMANT,,,,,"Comprising a necklace and earrings<br><br>Oval rubies, pear and round brilliant-cut diamonds, platinum, 18k white and yellow gold (French marks), signed Boucheron, maker’s mark (Sté Boucheron), numbered, Boucheron fitted case<br><br>Gem Paris, 2025, report n°.20251978305-1: Burma, 3 treated rubies, heating with residues on surface<br><br>Rubies: with an approximate total weight of 49.00-53.00 carats <br>Diamonds: with an approximate total weight of 74.00-78.00 carats<br><br>Size/Dimensions: necklace length 40.0 cm, pendant 7.0 cm, earrings 6.5 cm<br>Gross weight: 170.2 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Gross weight of each element: 125.8 grams (necklace) and 44.4 grams (earrings).<br>-Additional marks: PT 950, 0R 750 (necklace) and PT 950, 0R 750 (earrings).<br>- Ruby: with typical inclusions, minor chips at the junction of the table's facets. With chips at the junction of the table's facets and at the girdle.<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,100000,200000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:15:00,100000,100000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,ruby;diamond;gold,jewelry set,Boucheron
17,,23805.17,PAR,BAGUE RUBIS ET DIAMANTS,,,,,"Antique cushion brilliant step-cut ruby of 1.774 carats, triangular diamonds, 18k yellow and white gold (customs mark) <br><br>SSEF, 2025, report n°.144744: 1.774 carats, Burman, ‘Pigeon blood red’, no indications of heating<br><br>Diamonds: with an approximate total weight of 0.70-0.90 carat<br><br>Size/Dimensions: FR ring size: 52 / US ring size: 6<br>Gross weight: 3.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. <br>- Ruby: with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G color, VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.<br>",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:16:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,diamond;ruby;gold,ring,
18,,23805.18,PAR,VAN CLEEF & ARPELS BRACELET DIAMANTS,,,,,"Round brilliant-cut and rectangular diamonds, platinum and 18k white gold (French marks), signed Van Cleef & Arpels, maker’s mark (Mura aîné), numbered, Van Cleef & Arpels pouch<br><br>Diamonds: with a total approximate weight of 18.50-20.50 carats<br><br>Size/Dimensions: 17.0 cm<br>Gross weight: 56.0 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a concealed and secured clasp.<br>- Additional marks: OR.<br>- Diamonds: with chips at the junction of the table's facets and at the girdle.",,,,,,,,,,30000,50000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:17:00,30000,30000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;platinum;gold,bracelet,Van Cleef & Arpels
19,,23805.19,PAR,DIAMANT SUR PAPIER,,,,,"Round brilliant-cut diamond of 4.51 carats<br><br>GIA, 2025, report n°.5232597581: 4.51 carats, D color, VVS2 clarity, strong blue fluorescence<br>",,,,,- Diamonds: on minor chips at the junction of the table facets and at the girdle.,,,,,,,,,,70000,90000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:18:00,70000,70000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond,unmounted,
20,,23805.20,PAR,CARTIER MONTRE DE DAME DIAMANTS 'BAIGNOIRE',,,,,"Round brilliant-cut diamonds, 18k white gold (Swiss mark), case and dial signed Cartier, maker’s marks (Société Anonyme Cartier) on case, quartz movement, case numbered<br><br>Size/Dimensions: case diameter 23 x 32 mm <br>Gross weight: 32.6 grams <br><br><b>This endangered species strap is shown for display purposes only and is not for sale.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a pin buckle and no bracelet.<br>- Glass: in good condition, very minor scratches at surface.<br>- Case: signed Cartier, Water resistant, Swiss made, Au750, 750, 18k gold (Swiss mark), maker's mark (Société Anonyme Cartier).<br>- Dial: signed Cartier, Swiss made.<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.<br>- Movement is working at time of cataloguing. The movement has not been tested for accuracy. A service is highly recommended.<br>- Please note that working order and time keeping cannot be guaranteed at time of purchase. Please refer to the Conditions of Sale further information regarding all clocks and watches.",,,,,,,,,,5000,8000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:19:00,5000,5000,0,0,,,,,,Switzerland,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,wristwatch,Cartier
21,,23805.21,PAR,PAIRE DE BOUCLES D’OREILLES TRANSFORMABLES PERLES DE CULTURE ET DIAMANTS,,,,,"Pearl drops detachable<br><br>Rounded cultured pearls, marquise diamonds, platinum and 18k white gold (French marks), French maker’s marks<br><br>Cultured pearls: measuring approximately 10.4 x 9.6 mm and 10.7 x 9.9 mm<br>Diamonds: with an approximate total weight of 5.00-5.80 carats<br><br>Size/Dimensions: 3.5 cm (or 2.0 cm with the part with the pearl)<br>Gross weight: 10.9 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Earrings with clip backs for non-pierced ears.<br>- Additional marks: unidentifiable French marker’s marks (on part with diamonds), G18K, SH (on part with pearls).<br>- Cultured pearls: of white to cream bodycolor, with rosé and green overtones, good luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Half-drilled.<br>- Diamonds: on average G to H color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:20:00,5000,5000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,pearl;diamond;gold,earrings,
22,,23805.22,PAR,"RENÉ BOIVIN COLLIER PERLES DE CULTURE, RUBIS ET DIAMANTS",,,,,"Round cultured pearls, oval rubies, round brilliant-cut diamonds, 18k yellow gold (French mark) and brushed steel, signed R. Boivin, maker’s mark (Cristofol), 1979, René Boivin fitted case<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1979 after a drawing of Suzanne Belperron<br><br>Cultured pearls: measuring approximately 6.7 x 7.2 mm to 9.1 x 8.5 mm <br><br>Size/Dimensions: inner continuous circumference 37.5 cm<br>Gross weight: 153.2 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin in December 1979 after a drawing of Suzanne Belperron<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Necklace is hinged for ease to wear, fitted a concealed and secured clasp.<br>- Cultured pearls: of white to cream bodycolor and grey bodycolour, partly with rosé and green overtones, nice luster and typical variations to nacre. With some typical blemishes and some lack of nacre and scratches at surface. Drilled. <br>- Rubies with typical inclusions, minor chips at the junction of the table's facets.<br>- Diamonds: on average G to H color, VS1 to VS2 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,50000,80000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:21:00,50000,50000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,cultured pearl;ruby;diamond,necklace,"Boivin, Rene"
23,,23805.23,PAR,BAGUE DIAMANT DE COULEUR ET DIAMANTS,,,,,"Cushion brilliant Fancy Vivid Orangy Yellow diamond of 9.67 carats, tapered-baguette diamonds, platinum and18k yellow gold (French mark), French maker’s mark partially erased <br><br>GIA, 2025, report n°.6237597634: 9.67 carats, Fancy Vivid Orangy Yellow, VS1 clarity, no fluorescence<br><br>Size/Dimensions: FR ring size: 51<sup>1</sup>⁄<sub>2</sub> / US ring size: 5<sup>3</sup>⁄<sub>4</sub><br>Gross weight: 5.7 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with a U-shaped ring.<br>- Additional marks: French maker’s mark partially erased and unidentifiable.<br>- Coloured diamond: with minor chips at the junction of the table's facets.<br>- Diamonds: with minor chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,250000,350000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:22:00,240000,240000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,colored diamond;gold,ring,
24,,23805.24,PAR,CARTIER DEMI-PARURE DIAMANTS ‘MAILLON PANTHÈRE’,,,,,"Comprising a necklace and a bracelet<br><br>Round brilliant-cut diamonds, platinum and 18k white gold (French marks), signed Cartier, numbered<br><br>Diamonds: with an approximate total weight of 41.50-45.50 carats<br><br>Size/Dimensions: necklace 43.0 cm, bracelet 18.0 cm<br>Gross weight: 591.8 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Necklace and bracelet fitted with concealed clasps.<br>- Additional marks: PT950, OR (on each element), Swiss marks on necklace.<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,150000,200000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:23:00,150000,150000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,platinum;diamond,jewelry set,Cartier
25,,23805.25,PAR,CARTIER PAIRE DE BOUCLES D’OREILLES DIAMANTS,,,,,"Round brilliant-cut diamonds, platinum and 18k white gold (French marks), signed Cartier, maker’s marks (Bouder), numbered<br><br>Diamonds: with an approximate total weight of 4.50-5.50 carats<br><br>Size/Dimensions: 3.0 x 2.6 cm <br>Gross weight: 24.6 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold and platinum. Earrings fitted with posts and clip backs for pierced ears (one post is missing).<br>- Additional marks: PT950, OR, J.C, 950, n (on each earring).<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:24:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,platinum;diamond,earrings,Cartier
26,,23805.26,PAR,NO RESERVE - RENÉ BOIVIN POUDRIER ARGENT,,,<i><b>• This lot is offered without reserve. </b></i><i><br></i><b>• Lot proposé sans prix de réserve.</b>,,"Opening to reveal a mirror, silver and gilded silver (customs mark), signed René Boivin Paris, circa 1940<br><br>Size/Dimensions: 7.1 x 7.1 x 1.7 cm <br>Gross weight: 137.7 grams<br>",,,,,"-Overall condition: good. Shows normal signs of use, including indentations and evident traces of patina, lack of gild. Opening with a push button on a single compartment.<br>-Mirror: with a very few stains.",,,,,,,,,,5000,7000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:25:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,TRUE,silver,vanity case,"Boivin, Rene"
27,,23805.27,PAR,RENÉ BOIVIN PAIRE DE CLIPS DIAMANTS,,,,,"Old-cut diamonds, platinum and 18k white gold (French mark), maker’s mark (René Boivin), circa 1930, René Boivin fitted case<br><br>Diamonds: with an approximate total weight of 2.20-2.60 carats<br><br>Size/Dimensions: 1.1 x 1.1 cm<br>Gross weight: 8.8 grams<br><br><b>Please note that earrings are not signed René Boivin.</b><br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with clip backs for non-pierced ears.<br>- Diamonds: on average H to K color, VS2 to SI1 clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,10000,15000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:26:00,10000,10000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,diamond;gold,earrings,"Boivin, Rene"
28,,23805.28,PAR,RENÉ BOIVIN BRACELET SAPHIR ET ÉMAIL 'HINDOU',,,,,"Round and oval cabochon sapphires, blue and white enamel, 18k white gold (French mark), maker’s mark (Charles Profillet), circa 1950<br><br>Maison René Boivin, 2025: original piece manufactured by René Boivin circa 1950 after a drawing of Juliette Moutard<br><br>Size/Dimensions: 20.0 cm<br>Gross weight: 114.9 grams<br>Maison René Boivin, 2025: original piece manufactured by René Boivin circa 1950 after a drawing of Juliette Moutard<br>",,"Cf. F. Cailles, <i>René Boivin Joaillier</i>, Les Éditions de l'Amateur, Paris, 1994, p.329 for a bracelet of similar design",,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Links can be moved to make the bracelet fully articulated and flexible.<br>- Sapphires: with typical inclusions, minor chips at surface.<br>- Enamel: in fair condition, severe scratches and lack of enamel at some places.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,50000,60000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:27:00,50000,50000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;enamel;gold,bracelet,"Boivin, Rene"
29,,23805.29,PAR,BAGUE SAPHIR,,,,,"Antique cushion brilliant step-cut sapphire of 7.76 carats, platinum (French mark) <br><br>Gübelin, 2025, report n°.25050179: 7.76 carats, Kashmir, no indication of heating / 90.2 Gübelin Points, Outstanding<br>SSEF, 2025, report n°.144007: approximately 12.20 x 10.50 x 6.60 mm, Kashmir, no indications of heating<br><br>Size/Dimensions: FR ring size: 56 / US ring size: 7<sup>1</sup>⁄<sub>2</sub><br>Gross weight: 9.9 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout platinum.<br>- Sapphire: with typical inclusions, minor chips and scratches at the junction of the table's facets and at the girdle.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,300000,400000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:28:00,300000,300000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,sapphire;platinum,ring,
30,,23805.30,PAR,NO RESERVE - RENÉ BOIVIN POUDRIER MIROIR,,,• This lot is offered without reserve. <br>• Lot proposé sans prix de réserve.,,"Square-shaped mirrors, silver (French mark), signed René Boivin Paris, maker’s mark (Jean Trotain), circa 1935<br><br>Size/Dimensions: 7.6 x 6.4 x 1.1 cm<br>Gross weight: 114.7 grams<br>",,"Cf. F. Cailles, <i>René Boivin, Joaillier, </i>Les Éditions de l'Amateur, Paris, 1994, p. 340 for a similar piece.",,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout silver, oxidation stains. Opening on a single compartment and a mirror.<br>- Mirrors: in fair condition, some are broken, scratched, or have dark lead marks due to aging.",,,,,,,,,,4000,6000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:29:00,100,100,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,glass;silver,vanity case,"Boivin, Rene"
31,,23805.31,PAR,GRAFF PAIRE DE BOUCLES D’OREILLES DIAMANTS DE COULEUR ET DIAMANTS,,,,,"Octagonal modified brilliant-cut coloured diamonds de 1.92 et 1.84 carats, round brilliant-cut diamonds, 18k white gold (customs mark), signed Graff, numbered<br><br>IGN, 2025, report n°.36628: 1.92 carats, Fancy Yellow color, VS1 clarity / 1.84 carats, Fancy Yellow color, VVS2 clarity<br><br>Coloured diamonds: with a total of 3.76 carats<br>Diamonds: with an approximate total weight of 0.15-0.35 carat<br><br>Size/Dimensions: 2.4 cm<br>Gross weight: 3.5 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Fitted with posts for pierced ears.<br>- Additional marks: Au. <br>- Coloured diamonds: with minor chips at the junction of the table's facets.<br>- Diamonds: on average G to I color, VVS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets.<br>- Please refer to the Conditions of Sale for further information regarding coloured stones.",,,,,,,,,,15000,25000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:30:00,15000,15000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,colored diamond;diamond,earrings,Graff
32,,23805.32,PAR,CARTIER DEMI-PARURE DIAMANTS,,,,,"Comprising a necklace and a bracelet<br><br>Round brilliant-cut diamonds, 18k yellow gold (French marks), signed Cartier, necklace with maker’s mark (Lully Joaillier) and bracelet with maker’s mark (Cartier), numbered, Cartier fitted case for necklace<br><br>Diamonds: with an approximate total weight of 52.00-58.00 carats<br><br>Size/Dimensions: necklace 40.0 cm, bracelet 18.0 cm<br>Gross weight: 303.9 grams<br>",,,,,"- Overall condition: good. Shows normal signs of wear, with minor abrasions throughout gold. Necklace and bracelet fitted with concealed clasps.<br>- Additional marks: 750 (on each element), 15 (on bracelet).<br>- Diamonds: on average F to G color, VVS to VS clarity. Colour has been gauged as far as the mounting permits. With chips at the junction of the table's facets and at the girdle.",,,,,,,,,,100000,150000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:31:00,100000,100000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,jewelry set,Cartier
33,,23805.33,PAR,VAN CLEEF & ARPELS SAC DU SOIR DIAMANTS,,,,,"Round brilliant-cut diamonds, 18k yellow gold (French and customs marks), signed La Minaudière Van Cleef & Arpels, French maker's mark on comb (Van Cleef & Arpels) and French maker's mark on bag, circa 1960, numbered, Van Cleef & Arpels fitted case<br><br>Size/Dimensions: 18.0 x 11.0 x 3.5 cm<br>Gross weight: 550.5 grams<br>",,,,,"-Overall condition: good. Shows normal signs of wear with minor abrasions throughout gold. Opens with a push-button mechanism to reveal a single compartment, lined with brown suede and silk, and fitted with a leaf containing a comb (13.2 x 3.0 cm) and a mirror (3.5 x 7.2 cm).<br>-Additional marks: French maker's mark on bag partially erased, 750 (on each element), OR.<br>-Mirror: in good condition, with minor scratches at surface.<br>-Diamond: on average F to H colour, VS clarity. Colour has been gauged as far as the yellow mounting permits.",,,,,,,,,,20000,30000,,,,,,,,FORWARD,FALSE,2025-06-19 06:00:00,2025-06-27 08:32:00,18000,18000,0,0,,,,,,France,,,,,,,,,,FALSE,,,,,,,FALSE,,,,Private,FALSE,,,FALSE,gold;diamond,Evening bag,Van Cleef & Arpels
